instancia,metodo,distancia,tiempo,n_poblacion,n_iter,gap_pct_vs_LP,n_vars,n_constraints
eil101,GA_top1,831.5942171229722,86.32971382141113,300.0,1000.0,0.39331993528621784,,
eil101,GA_top2,838.7023456217564,87.28175187110901,300.0,1000.0,1.2514411244743917,,
eil101,GA_top3,840.0531418279987,85.45360517501831,300.0,1000.0,1.4145145476756997,,
gr229,GA_top1,2941.450781121616,871.6440768241882,500.0,1500.0,-98.4752765276665,,
gr229,GA_top2,3134.618389115284,771.3401508331299,500.0,1500.0,-98.37514662309941,,
gr229,GA_top3,3175.541157451232,762.819075345993,500.0,1500.0,-98.35393399365985,,
inventado,GA_top1,1636.670317444175,37.25573992729187,200.0,800.0,52.188660114361205,,
inventado,GA_top2,1735.6734818337598,37.31388759613037,200.0,800.0,61.394643002265965,,
inventado,GA_top3,1849.921559210562,38.79648041725159,200.0,800.0,72.0182008631853,,
eil101,LP,828.3362056947811,3603.839335441589,,,,10200.0,10102.0
gr229,LP,192917.0,3604.530173063278,,,,52440.0,52214.0
inventado,LP,1075.4219901892227,3603.408191204071,,,,6399.0,6322.0
